"AGE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"TOTAL";"AT32";"A";"2014";1,55;NA
"TOTAL";"AT32";"A";"2013";1,48;NA
"TOTAL";"AT32";"A";"2012";1,46;NA
"TOTAL";"AT32";"A";"2011";1,46;NA
"TOTAL";"AT32";"A";"2010";1,47;NA
"TOTAL";"AT32";"A";"2009";1,39;NA
"TOTAL";"AT32";"A";"2008";1,44;NA
"TOTAL";"AT32";"A";"2007";1,41;NA
"TOTAL";"AT32";"A";"2006";1,39;NA
"TOTAL";"AT32";"A";"2005";1,45;NA
"TOTAL";"AT32";"A";"2004";1,43;NA
"TOTAL";"AT32";"A";"2003";1,38;NA
"TOTAL";"AT32";"A";"2002";1,43;NA
"TOTAL";"AT32";"A";"2001";1,34;NA
"TOTAL";"AT32";"A";"2000";1,38;NA
"TOTAL";"AT32";"A";"1999";1,4;NA
"TOTAL";"AT32";"A";"1998";1,4;NA
"TOTAL";"AT32";"A";"1997";1,43;NA
"TOTAL";"AT32";"A";"1996";1,46;NA
"TOTAL";"AT32";"A";"1995";1,45;NA
"TOTAL";"AT32";"A";"1994";1,48;NA
"TOTAL";"AT32";"A";"1993";1,51;NA
"TOTAL";"AT32";"A";"1992";1,54;NA
"TOTAL";"AT32";"A";"1991";1,5;NA
"TOTAL";"AT32";"A";"1990";1,43;NA
"TOTAL";"AT33";"A";"2014";1,45;NA
"TOTAL";"AT33";"A";"2013";1,44;NA
"TOTAL";"AT33";"A";"2012";1,44;NA
"TOTAL";"AT33";"A";"2011";1,4;NA
"TOTAL";"AT33";"A";"2010";1,42;NA
"TOTAL";"AT33";"A";"2009";1,38;NA
"TOTAL";"AT33";"A";"2008";1,39;NA
"TOTAL";"AT33";"A";"2007";1,37;NA
"TOTAL";"AT33";"A";"2006";1,41;NA
"TOTAL";"AT33";"A";"2005";1,4;NA
"TOTAL";"AT33";"A";"2004";1,42;NA
"TOTAL";"AT33";"A";"2003";1,35;NA
"TOTAL";"AT33";"A";"2002";1,37;NA
"TOTAL";"AT33";"A";"2001";1,32;NA
"TOTAL";"AT33";"A";"2000";1,37;NA
"TOTAL";"AT33";"A";"1999";1,36;NA
"TOTAL";"AT33";"A";"1998";1,45;NA
"TOTAL";"AT33";"A";"1997";1,46;NA
"TOTAL";"AT33";"A";"1996";1,53;NA
"TOTAL";"AT33";"A";"1995";1,5;NA
"TOTAL";"AT33";"A";"1994";1,55;NA
"TOTAL";"AT33";"A";"1993";1,6;NA
"TOTAL";"AT33";"A";"1992";1,61;NA
"TOTAL";"AT33";"A";"1991";1,59;NA
"TOTAL";"AT33";"A";"1990";1,52;NA
"TOTAL";"AT34";"A";"2014";1,62;NA
"TOTAL";"AT34";"A";"2013";1,52;NA
"TOTAL";"AT34";"A";"2012";1,56;NA
"TOTAL";"AT34";"A";"2011";1,53;NA
"TOTAL";"AT34";"A";"2010";1,56;NA
"TOTAL";"AT34";"A";"2009";1,51;NA
"TOTAL";"AT34";"A";"2008";1,51;NA
"TOTAL";"AT34";"A";"2007";1,47;NA
"TOTAL";"AT34";"A";"2006";1,52;NA
"TOTAL";"AT34";"A";"2005";1,54;NA
"TOTAL";"AT34";"A";"2004";1,57;NA
"TOTAL";"AT34";"A";"2003";1,44;NA
"TOTAL";"AT34";"A";"2002";1,52;NA
"TOTAL";"AT34";"A";"2001";1,5;NA
"TOTAL";"AT34";"A";"2000";1,45;NA
"TOTAL";"AT34";"A";"1999";1,51;NA
"TOTAL";"AT34";"A";"1998";1,54;NA
"TOTAL";"AT34";"A";"1997";1,53;NA
"TOTAL";"AT34";"A";"1996";1,65;NA
"TOTAL";"AT34";"A";"1995";1,64;NA
"TOTAL";"AT34";"A";"1994";1,64;NA
"TOTAL";"AT34";"A";"1993";1,67;NA
"TOTAL";"AT34";"A";"1992";1,7;NA
"TOTAL";"AT34";"A";"1991";1,65;NA
"TOTAL";"AT34";"A";"1990";1,65;NA
"TOTAL";"CH07";"A";"2014";1,41;NA
"TOTAL";"CH07";"A";"2013";1,38;NA
"TOTAL";"CH07";"A";"2012";1,38;NA
"TOTAL";"CH07";"A";"2011";1,43;NA
"TOTAL";"CH07";"A";"2010";1,4;NA
"TOTAL";"CH07";"A";"2009";1,35;NA
"TOTAL";"CH07";"A";"2008";1,37;NA
"TOTAL";"CH07";"A";"2007";1,28;NA
"TOTAL";"CH07";"A";"2006";1,25;NA
"TOTAL";"CH07";"A";"2005";1,22;NA
"TOTAL";"CH07";"A";"2004";1,2;NA
"TOTAL";"CH07";"A";"2003";1,17;NA
"TOTAL";"CH07";"A";"2002";1,16;NA
"TOTAL";"CH07";"A";"2001";1,15;NA
"TOTAL";"CH07";"A";"2000";1,29;NA
"TOTAL";"CH07";"A";"1999";1,25;NA
"TOTAL";"CH07";"A";"1998";1,27;NA
"TOTAL";"CH07";"A";"1997";1,26;NA
"TOTAL";"CH07";"A";"1996";1,27;NA
"TOTAL";"CH07";"A";"1995";1,26;NA
"TOTAL";"CH07";"A";"1994";1,3;NA
"TOTAL";"CH07";"A";"1993";1,27;NA
"TOTAL";"CH07";"A";"1992";1,29;NA
"TOTAL";"CH07";"A";"1991";1,31;NA
"TOTAL";"CH07";"A";"1990";NA;"na"
"TOTAL";"DE2";"A";"2014";1,45;NA
"TOTAL";"DE2";"A";"2013";1,39;NA
"TOTAL";"DE2";"A";"2012";1,38;NA
"TOTAL";"DE2";"A";"2011";1,34;NA
"TOTAL";"DE2";"A";"2010";1,36;NA
"TOTAL";"DE2";"A";"2009";1,34;NA
"TOTAL";"DE2";"A";"2008";1,36;NA
"TOTAL";"DE2";"A";"2007";1,36;NA
"TOTAL";"DE2";"A";"2006";1,32;NA
"TOTAL";"DE2";"A";"2005";1,34;NA
"TOTAL";"DE2";"A";"2004";1,37;NA
"TOTAL";"DE2";"A";"2003";1,35;NA
"TOTAL";"DE2";"A";"2002";1,36;NA
"TOTAL";"DE2";"A";"2001";NA;"na"
"TOTAL";"DE2";"A";"2000";NA;"na"
"TOTAL";"DE2";"A";"1999";NA;"na"
"TOTAL";"DE2";"A";"1998";NA;"na"
"TOTAL";"DE2";"A";"1997";NA;"na"
"TOTAL";"DE2";"A";"1996";NA;"na"
"TOTAL";"DE2";"A";"1995";NA;"na"
"TOTAL";"DE2";"A";"1994";NA;"na"
"TOTAL";"DE2";"A";"1993";NA;"na"
"TOTAL";"DE2";"A";"1992";NA;"na"
"TOTAL";"DE2";"A";"1991";NA;"na"
"TOTAL";"DE2";"A";"1990";NA;"na"
"TOTAL";"IT";"A";"2014";1,37;NA
"TOTAL";"IT";"A";"2013";1,39;NA
"TOTAL";"IT";"A";"2012";1,43;NA
"TOTAL";"IT";"A";"2011";1,44;NA
"TOTAL";"IT";"A";"2010";1,46;NA
"TOTAL";"IT";"A";"2009";1,45;NA
"TOTAL";"IT";"A";"2008";1,45;NA
"TOTAL";"IT";"A";"2007";1,4;NA
"TOTAL";"IT";"A";"2006";1,37;NA
"TOTAL";"IT";"A";"2005";1,34;NA
"TOTAL";"IT";"A";"2004";1,34;NA
"TOTAL";"IT";"A";"2003";1,29;NA
"TOTAL";"IT";"A";"2002";1,27;NA
"TOTAL";"IT";"A";"2001";1,25;NA
"TOTAL";"IT";"A";"2000";1,26;NA
"TOTAL";"IT";"A";"1999";1,23;NA
"TOTAL";"IT";"A";"1998";1,21;NA
"TOTAL";"IT";"A";"1997";1,21;NA
"TOTAL";"IT";"A";"1996";1,2;NA
"TOTAL";"IT";"A";"1995";1,19;NA
"TOTAL";"IT";"A";"1994";1,21;NA
"TOTAL";"IT";"A";"1993";1,25;NA
"TOTAL";"IT";"A";"1992";1,3;NA
"TOTAL";"IT";"A";"1991";1,3;NA
"TOTAL";"IT";"A";"1990";1,33;NA
"TOTAL";"ITC4";"A";"2014";1,46;NA
"TOTAL";"ITC4";"A";"2013";1,48;NA
"TOTAL";"ITC4";"A";"2012";1,52;NA
"TOTAL";"ITC4";"A";"2011";1,53;NA
"TOTAL";"ITC4";"A";"2010";1,57;NA
"TOTAL";"ITC4";"A";"2009";1,57;NA
"TOTAL";"ITC4";"A";"2008";1,54;NA
"TOTAL";"ITC4";"A";"2007";1,47;NA
"TOTAL";"ITC4";"A";"2006";1,43;NA
"TOTAL";"ITC4";"A";"2005";1,37;NA
