"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"AT32";"A";"2014";2,8;NA;NA
"AT32";"A";"2013";1,9;NA;NA
"AT32";"A";"2012";2,6;NA;NA
"AT32";"A";"2011";1,8;NA;NA
"AT32";"A";"2010";4,9;NA;NA
"AT32";"A";"2009";2,5;NA;NA
"AT32";"A";"2008";2,6;NA;NA
"AT32";"A";"2007";2,4;NA;NA
"AT32";"A";"2006";2,2;NA;NA
"AT32";"A";"2005";4,5;NA;NA
"AT32";"A";"2004";4,8;NA;NA
"AT32";"A";"2003";4,4;NA;NA
"AT32";"A";"2002";4,4;NA;NA
"AT32";"A";"2001";4;NA;NA
"AT32";"A";"2000";3,5;NA;NA
"AT32";"A";"1999";2,7;NA;NA
"AT32";"A";"1998";4,6;NA;NA
"AT32";"A";"1997";5,4;NA;NA
"AT32";"A";"1996";4,7;NA;NA
"AT32";"A";"1995";NA;"na";NA
"AT32";"A";"1994";6;NA;NA
"AT32";"A";"1993";5,5;NA;NA
"AT32";"A";"1992";5;NA;NA
"AT32";"A";"1991";5,7;NA;NA
"AT32";"A";"1990";8,1;NA;NA
"AT33";"A";"2014";2;NA;NA
"AT33";"A";"2013";2,7;NA;NA
"AT33";"A";"2012";2;NA;NA
"AT33";"A";"2011";3,3;NA;NA
"AT33";"A";"2010";2,5;NA;NA
"AT33";"A";"2009";2,7;NA;NA
"AT33";"A";"2008";1,6;NA;NA
"AT33";"A";"2007";2,3;NA;NA
"AT33";"A";"2006";3,3;NA;NA
"AT33";"A";"2005";3,9;NA;NA
"AT33";"A";"2004";4;NA;NA
"AT33";"A";"2003";3,1;NA;NA
"AT33";"A";"2002";3,9;NA;NA
"AT33";"A";"2001";4,9;NA;NA
"AT33";"A";"2000";5,3;NA;NA
"AT33";"A";"1999";3,9;NA;NA
"AT33";"A";"1998";6,2;NA;NA
"AT33";"A";"1997";3,4;NA;NA
"AT33";"A";"1996";6;NA;NA
"AT33";"A";"1995";NA;"na";NA
"AT33";"A";"1994";7,3;NA;NA
"AT33";"A";"1993";7,3;NA;NA
"AT33";"A";"1992";7,6;NA;NA
"AT33";"A";"1991";8;NA;NA
"AT33";"A";"1990";9,4;NA;NA
"AT34";"A";"2014";0,7;NA;NA
"AT34";"A";"2013";3,5;NA;NA
"AT34";"A";"2012";3,1;NA;NA
"AT34";"A";"2011";3,7;NA;NA
"AT34";"A";"2010";2,6;NA;NA
"AT34";"A";"2009";3,5;NA;NA
"AT34";"A";"2008";4;NA;NA
"AT34";"A";"2007";3,2;NA;NA
"AT34";"A";"2006";4,7;NA;NA
"AT34";"A";"2005";5;NA;NA
"AT34";"A";"2004";4;NA;NA
"AT34";"A";"2003";3,4;NA;NA
"AT34";"A";"2002";4,7;NA;NA
"AT34";"A";"2001";6,5;NA;NA
"AT34";"A";"2000";5,9;NA;NA
"AT34";"A";"1999";7,1;NA;NA
"AT34";"A";"1998";5,7;NA;NA
"AT34";"A";"1997";4,2;NA;NA
"AT34";"A";"1996";5;NA;NA
"AT34";"A";"1995";NA;"na";NA
"AT34";"A";"1994";5,4;NA;NA
"AT34";"A";"1993";4,4;NA;NA
"AT34";"A";"1992";7,6;NA;NA
"AT34";"A";"1991";8,8;NA;NA
"AT34";"A";"1990";9,4;NA;NA
"CH07";"A";"2014";3,1;NA;NA
"CH07";"A";"2013";1,8;NA;NA
"CH07";"A";"2012";2,5;NA;NA
"CH07";"A";"2011";2,4;NA;NA
"CH07";"A";"2010";3,4;NA;NA
"CH07";"A";"2009";4,8;NA;NA
"CH07";"A";"2008";2,3;NA;NA
"CH07";"A";"2007";4,6;NA;NA
"CH07";"A";"2006";4,7;NA;NA
"CH07";"A";"2005";3,6;NA;NA
"CH07";"A";"2004";3,3;NA;NA
"CH07";"A";"2003";2,2;NA;NA
"CH07";"A";"2002";4,4;NA;NA
"CH07";"A";"2001";3,7;NA;NA
"CH07";"A";"2000";2,3;NA;NA
"CH07";"A";"1999";4,4;NA;NA
"CH07";"A";"1998";3,6;NA;NA
"CH07";"A";"1997";5,6;NA;NA
"CH07";"A";"1996";6,1;NA;NA
"CH07";"A";"1995";4,2;NA;NA
"CH07";"A";"1994";5,1;NA;NA
"CH07";"A";"1993";5,4;NA;NA
"CH07";"A";"1992";5,8;NA;NA
"CH07";"A";"1991";8,6;NA;NA
"CH07";"A";"1990";7,2;NA;NA
"DE2";"A";"2014";2,8;NA;NA
"DE2";"A";"2013";2,7;NA;NA
"DE2";"A";"2012";2,7;NA;NA
"DE2";"A";"2011";3,1;NA;NA
"DE2";"A";"2010";3;NA;NA
"DE2";"A";"2009";3,2;NA;NA
"DE2";"A";"2008";3,1;NA;NA
"DE2";"A";"2007";3,8;NA;NA
"DE2";"A";"2006";3,3;NA;NA
"DE2";"A";"2005";3,5;NA;NA
"DE2";"A";"2004";3,4;NA;NA
"DE2";"A";"2003";3,8;NA;NA
"DE2";"A";"2002";3,9;NA;NA
"DE2";"A";"2001";NA;"na";NA
"DE2";"A";"2000";NA;"na";NA
"DE2";"A";"1999";NA;"na";NA
"DE2";"A";"1998";NA;"na";NA
"DE2";"A";"1997";NA;"na";NA
"DE2";"A";"1996";NA;"na";NA
"DE2";"A";"1995";NA;"na";NA
"DE2";"A";"1994";NA;"na";NA
"DE2";"A";"1993";NA;"na";NA
"DE2";"A";"1992";NA;"na";NA
"DE2";"A";"1991";NA;"na";NA
"DE2";"A";"1990";NA;"na";NA
"EFTA";"A";"2014";NA;"na";NA
"EFTA";"A";"2013";NA;"na";NA
"EFTA";"A";"2012";3,1;NA;NA
"EFTA";"A";"2011";3,1;NA;NA
"EFTA";"A";"2010";3,3;NA;NA
"EFTA";"A";"2009";3,7;NA;NA
"EFTA";"A";"2008";3,4;NA;NA
"EFTA";"A";"2007";3,5;NA;NA
"EFTA";"A";"2006";3,8;NA;NA
"EFTA";"A";"2005";3,7;NA;NA
"EFTA";"A";"2004";3,8;NA;NA
"EFTA";"A";"2003";3,8;NA;NA
"EFTA";"A";"2002";4;NA;NA
"EFTA";"A";"2001";4,5;NA;NA
"EFTA";"A";"2000";4,4;NA;NA
"EFTA";"A";"1999";4,3;NA;NA
"EFTA";"A";"1998";4,4;NA;NA
"EFTA";"A";"1997";4,6;NA;NA
"EFTA";"A";"1996";4,4;NA;NA
"EFTA";"A";"1995";4,7;NA;NA
"EFTA";"A";"1994";5,1;NA;NA
"EFTA";"A";"1993";5,3;NA;NA
"EFTA";"A";"1992";6,1;NA;NA
"EFTA";"A";"1991";6,2;NA;NA
"EFTA";"A";"1990";6,8;NA;NA
"EU27";"A";"2014";NA;"na";NA
"EU27";"A";"2013";NA;"na";NA
"EU27";"A";"2012";3,8;NA;NA
"EU27";"A";"2011";3,9;NA;NA
"EU27";"A";"2010";4;NA;NA
"EU27";"A";"2009";4,2;NA;NA
"EU27";"A";"2008";4,3;NA;NA
"EU27";"A";"2007";4,5;NA;NA
"EU27";"A";"2006";4,7;NA;NA
"EU27";"A";"2005";4,9;NA;NA
"EU27";"A";"2004";5,1;NA;NA
"EU27";"A";"2003";5,3;NA;NA
"EU27";"A";"2002";5,4;NA;NA
"EU27";"A";"2001";5,7;NA;NA
"EU27";"A";"2000";5,9;NA;NA
"EU27";"A";"1999";6,1;NA;NA
"EU27";"A";"1998";6,5;NA;"b"
"EU27";"A";"1997";6,8;NA;NA
"EU27";"A";"1996";7,2;NA;NA
"EU27";"A";"1995";7,5;NA;NA
"EU27";"A";"1994";8,2;NA;NA
"EU27";"A";"1993";8,7;NA;NA
"EU27";"A";"1992";9,3;NA;NA
"EU27";"A";"1991";9,8;NA;NA
"EU27";"A";"1990";10,3;NA;NA
"EU28";"A";"2014";NA;"na";NA
"EU28";"A";"2013";NA;"na";NA
"EU28";"A";"2012";3,8;NA;NA
"EU28";"A";"2011";3,9;NA;NA
"EU28";"A";"2010";4;NA;NA
"EU28";"A";"2009";4,2;NA;NA
"EU28";"A";"2008";4,3;NA;NA
"EU28";"A";"2007";4,5;NA;NA
"EU28";"A";"2006";4,7;NA;NA
"EU28";"A";"2005";4,9;NA;NA
"EU28";"A";"2004";5,1;NA;NA
"EU28";"A";"2003";5,3;NA;NA
"EU28";"A";"2002";5,4;NA;NA
"EU28";"A";"2001";5,8;NA;NA
"EU28";"A";"2000";5,9;NA;NA
"EU28";"A";"1999";6,1;NA;NA
"EU28";"A";"1998";6,5;NA;"b"
"EU28";"A";"1997";6,8;NA;NA
"EU28";"A";"1996";7,2;NA;NA
"EU28";"A";"1995";7,5;NA;NA
"EU28";"A";"1994";8,3;NA;NA
"EU28";"A";"1993";8,7;NA;NA
"EU28";"A";"1992";9,3;NA;NA
"EU28";"A";"1991";9,8;NA;NA
"EU28";"A";"1990";10,3;NA;NA
"IT";"A";"2014";2,8;NA;NA
"IT";"A";"2013";2,9;NA;NA
"IT";"A";"2012";2,9;NA;NA
"IT";"A";"2011";2,9;NA;NA
"IT";"A";"2010";3;NA;NA
"IT";"A";"2009";3,2;NA;NA
"IT";"A";"2008";3,1;NA;NA
"IT";"A";"2007";3,1;NA;NA
"IT";"A";"2006";3,2;NA;NA
"IT";"A";"2005";3,3;NA;NA
"IT";"A";"2004";3,4;NA;NA
"IT";"A";"2003";3,8;NA;NA
"IT";"A";"2002";4,1;NA;NA
"IT";"A";"2001";4,4;NA;NA
"IT";"A";"2000";4,3;NA;NA
"IT";"A";"1999";4,9;NA;NA
"IT";"A";"1998";5,1;NA;NA
"IT";"A";"1997";5,5;NA;NA
"IT";"A";"1996";6;NA;NA
"IT";"A";"1995";6,1;NA;NA
"IT";"A";"1994";6,4;NA;NA
"IT";"A";"1993";7;NA;NA
"IT";"A";"1992";7,8;NA;NA
"IT";"A";"1991";8;NA;NA
"IT";"A";"1990";8,1;NA;NA
"ITC4";"A";"2014";3;NA;NA
"ITC4";"A";"2013";2,4;NA;NA
"ITC4";"A";"2012";2,5;NA;NA
"ITC4";"A";"2011";2,6;NA;NA
"ITC4";"A";"2010";2,3;NA;NA
"ITC4";"A";"2009";2,8;NA;NA
"ITC4";"A";"2008";2,4;NA;NA
"ITC4";"A";"2007";2,7;NA;NA
"ITC4";"A";"2006";2,4;NA;NA
"ITC4";"A";"2005";2,9;NA;NA
"ITC4";"A";"2004";2,6;NA;NA
"ITC4";"A";"2003";3,4;NA;NA
"ITC4";"A";"2002";3,3;NA;NA
"ITC4";"A";"2001";3,9;NA;NA
"ITC4";"A";"2000";3,4;NA;NA
"ITC4";"A";"1999";3,7;NA;NA
"ITC4";"A";"1998";3,6;NA;NA
"ITC4";"A";"1997";3,9;NA;NA
"ITC4";"A";"1996";4,3;NA;NA
"ITC4";"A";"1995";4,6;NA;NA
"ITC4";"A";"1994";4,9;NA;NA
"ITC4";"A";"1993";5,1;NA;NA
"ITC4";"A";"1992";6,1;NA;NA
"ITC4";"A";"1991";6,6;NA;NA
"ITC4";"A";"1990";6,9;NA;NA
"ITH";"A";"2014";2,6;NA;NA
"ITH";"A";"2013";2,7;NA;NA
"ITH";"A";"2012";2,6;NA;NA
"ITH";"A";"2011";2,9;NA;NA
"ITH";"A";"2010";2,5;NA;NA
"ITH";"A";"2009";2,8;NA;NA
"ITH";"A";"2008";2,7;NA;NA
"ITH";"A";"2007";2,6;NA;NA
"ITH";"A";"2006";2,8;NA;NA
"ITH";"A";"2005";2,8;NA;NA
"ITH";"A";"2004";2,8;NA;NA
"ITH";"A";"2003";3;NA;NA
"ITH";"A";"2002";3,3;NA;NA
"ITH";"A";"2001";3;NA;NA
"ITH";"A";"2000";NA;"na";NA
"ITH";"A";"1999";NA;"na";NA
"ITH";"A";"1998";NA;"na";NA
"ITH";"A";"1997";NA;"na";NA
"ITH";"A";"1996";NA;"na";NA
"ITH";"A";"1995";NA;"na";NA
"ITH";"A";"1994";NA;"na";NA
"ITH";"A";"1993";NA;"na";NA
"ITH";"A";"1992";NA;"na";NA
"ITH";"A";"1991";NA;"na";NA
"ITH";"A";"1990";NA;"na";NA
"ITH1";"A";"2014";3,1;NA;NA
"ITH1";"A";"2013";2,3;NA;NA
"ITH1";"A";"2012";2,4;NA;NA
"ITH1";"A";"2011";1,3;NA;NA
"ITH1";"A";"2010";3,3;NA;NA
"ITH1";"A";"2009";3,1;NA;NA
"ITH1";"A";"2008";2,9;NA;NA
"ITH1";"A";"2007";4,2;NA;NA
"ITH1";"A";"2006";4,3;NA;NA
"ITH1";"A";"2005";3,4;NA;NA
"ITH1";"A";"2004";3,5;NA;NA
"ITH1";"A";"2003";3,5;NA;NA
"ITH1";"A";"2002";4;NA;NA
"ITH1";"A";"2001";2,6;NA;NA
"ITH1";"A";"2000";2,6;NA;NA
"ITH1";"A";"1999";5;NA;NA
"ITH1";"A";"1998";4,2;NA;NA
"ITH1";"A";"1997";5,6;NA;NA
"ITH1";"A";"1996";5,3;NA;NA
"ITH1";"A";"1995";4,6;NA;NA
"ITH1";"A";"1994";4,8;NA;NA
"ITH1";"A";"1993";4,7;NA;NA
"ITH1";"A";"1992";4,8;NA;NA
"ITH1";"A";"1991";5,5;NA;NA
"ITH1";"A";"1990";7,1;NA;NA
"ITH2";"A";"2014";2,3;NA;NA
"ITH2";"A";"2013";2,7;NA;NA
"ITH2";"A";"2012";4,1;NA;NA
"ITH2";"A";"2011";2,8;NA;NA
"ITH2";"A";"2010";2;NA;NA
"ITH2";"A";"2009";2,1;NA;NA
"ITH2";"A";"2008";1,8;NA;NA
"ITH2";"A";"2007";1,4;NA;NA
"ITH2";"A";"2006";2,9;NA;NA
"ITH2";"A";"2005";2,3;NA;NA
"ITH2";"A";"2004";3,5;NA;NA
"ITH2";"A";"2003";3,8;NA;NA
"ITH2";"A";"2002";3,7;NA;NA
"ITH2";"A";"2001";2;NA;NA
"ITH2";"A";"2000";3,5;NA;NA
"ITH2";"A";"1999";4;NA;NA
"ITH2";"A";"1998";3,1;NA;NA
"ITH2";"A";"1997";2,8;NA;NA
"ITH2";"A";"1996";3,5;NA;NA
"ITH2";"A";"1995";5,1;NA;NA
"ITH2";"A";"1994";5;NA;NA
"ITH2";"A";"1993";3,9;NA;NA
"ITH2";"A";"1992";6,2;NA;NA
"ITH2";"A";"1991";4,5;NA;NA
"ITH2";"A";"1990";5,4;NA;NA
"ITH3";"A";"2014";2,3;NA;NA
"ITH3";"A";"2013";2,4;NA;NA
"ITH3";"A";"2012";2,6;NA;NA
"ITH3";"A";"2011";3;NA;NA
"ITH3";"A";"2010";2,5;NA;NA
"ITH3";"A";"2009";2,8;NA;NA
"ITH3";"A";"2008";2,7;NA;NA
"ITH3";"A";"2007";2,8;NA;NA
"ITH3";"A";"2006";2,6;NA;NA
"ITH3";"A";"2005";2,4;NA;NA
"ITH3";"A";"2004";2,5;NA;NA
"ITH3";"A";"2003";2,8;NA;NA
"ITH3";"A";"2002";3,3;NA;NA
"ITH3";"A";"2001";2,4;NA;NA
"ITH3";"A";"2000";3;NA;NA
"ITH3";"A";"1999";3,8;NA;NA
"ITH3";"A";"1998";3,5;NA;NA
"ITH3";"A";"1997";3,8;NA;NA
"ITH3";"A";"1996";4,7;NA;NA
"ITH3";"A";"1995";4,3;NA;NA
"ITH3";"A";"1994";4,9;NA;NA
"ITH3";"A";"1993";5,6;NA;NA
"ITH3";"A";"1992";5,9;NA;NA
"ITH3";"A";"1991";5,3;NA;NA
"ITH3";"A";"1990";5,7;NA;NA
