"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2015";35,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2014";34,5;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2013";28,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2012";27,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2011";21,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2010";18,1;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2009";19,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2008";20,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2007";20,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2006";20,9;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2005";21,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2004";18,3;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2003";16;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2002";14,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2001";18,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT32";"A";"2000";18,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2015";33,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2014";43,7;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2013";25,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2012";24,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2011";26,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2010";23,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2009";22,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2008";21,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2007";19,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2006";18,9;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2005";17,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2004";18,5;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2003";19,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2002";16,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2001";12,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT33";"A";"2000";10,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2015";31,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2014";31,4;"b";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2013";20,4;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2012";20,1;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2011";19,3;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2010";17,8;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2009";18,2;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2008";20,1;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2007";17,5;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2006";16;"bu";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2005";16,2;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2004";16,5;"bu";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2003";15,9;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2002";15,1;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2001";16,8;"u";NA
"ED5-8";"PC";"Y30-34";"T";"AT34";"A";"2000";17,3;"u";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2015";52,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2014";49,6;"b";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2013";47,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2012";43,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2011";36,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2010";38,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2009";40,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2008";34,7;"u";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2007";31,7;"u";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2006";33,4;"u";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2005";31;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2004";26,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2003";23,1;"u";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2002";25,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2001";18,3;"u";NA
"ED5-8";"PC";"Y30-34";"T";"CH07";"A";"2000";NA;NA;"na"
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2015";36,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2014";36,4;"b";NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2013";38;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2012";36,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2011";34;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2010";33,8;"b";NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2009";32,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2008";30,7;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2007";28,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2006";27,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"DE2";"A";"2005";27,8;"b";NA
