"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y18-24";"T";"AT32";"A";"2015";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2014";NA;"na";"bu"
"PC";"Y18-24";"T";"AT32";"A";"2013";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2012";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2011";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2010";7,8;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2009";NA;"na";"u"
"PC";"Y18-24";"T";"AT32";"A";"2008";7,5;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2007";10,4;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2006";8,8;NA;"bu"
"PC";"Y18-24";"T";"AT32";"A";"2005";7,4;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2004";NA;"na";"bu"
"PC";"Y18-24";"T";"AT32";"A";"2003";8,4;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2002";11,9;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2001";11,3;NA;"u"
"PC";"Y18-24";"T";"AT32";"A";"2000";10,3;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2015";6,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2014";7,1;NA;"bu"
"PC";"Y18-24";"T";"AT33";"A";"2013";6,4;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2012";9,6;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2011";10,9;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2010";9;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2009";9,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2008";9,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2007";10,5;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2006";11,7;NA;"b"
"PC";"Y18-24";"T";"AT33";"A";"2005";8,6;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2004";9,8;NA;"bu"
"PC";"Y18-24";"T";"AT33";"A";"2003";9,3;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2002";9,2;NA;"u"
"PC";"Y18-24";"T";"AT33";"A";"2001";12,7;NA;NA
"PC";"Y18-24";"T";"AT33";"A";"2000";10;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2015";NA;"na";"u"
"PC";"Y18-24";"T";"AT34";"A";"2014";NA;"na";"bu"
"PC";"Y18-24";"T";"AT34";"A";"2013";NA;"na";"u"
"PC";"Y18-24";"T";"AT34";"A";"2012";11;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2011";11,8;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2010";NA;"na";"u"
"PC";"Y18-24";"T";"AT34";"A";"2009";10,3;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2008";14,6;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2007";14,7;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2006";14,3;NA;"bu"
"PC";"Y18-24";"T";"AT34";"A";"2005";12,6;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2004";11,6;NA;"bu"
"PC";"Y18-24";"T";"AT34";"A";"2003";14,2;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2002";15,8;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2001";13,4;NA;"u"
"PC";"Y18-24";"T";"AT34";"A";"2000";16,1;NA;"u"
"PC";"Y18-24";"T";"CH07";"A";"2015";4,3;NA;"u"
