"ICD10";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2010";7,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2009";9,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2008";8,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2007";9,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2006";11;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2005";10,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2004";11,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2003";11,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2002";12,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2001";9,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"2000";11,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1999";12,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1998";10,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1997";15,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1996";11,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1995";14,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT32";"A";"1994";18,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2010";5,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2009";4,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2008";10;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2007";6,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2006";6,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2005";7,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2004";9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2003";8,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2002";10,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2001";12,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"2000";12,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1999";9,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1998";8,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1997";10,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1996";11,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1995";14,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT33";"A";"1994";15,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2010";6,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2009";7,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2008";6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2007";4,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2006";6,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2005";7,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2004";7,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2003";5,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2002";7,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2001";8,3;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"2000";9,2;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"1999";10,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"1998";6,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"1997";9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"1996";6,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"1995";9,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"AT34";"A";"1994";9,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2010";6,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2009";4,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2008";5,1;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2007";4,6;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2006";6,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2005";5,9;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2004";8,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2003";8,5;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2002";6,4;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2001";8,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"2000";8,7;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1999";9,8;NA;NA
"V_Y85";"RT";"TOTAL";"T";"CH07";"A";"1998";10,5;NA;NA
