"UNIT";"INDIC_IS";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"PC_HH";"H_IACC";"AT32";"A";"2015";NA;"na"
"PC_HH";"H_IACC";"AT32";"A";"2014";85;NA
"PC_HH";"H_IACC";"AT32";"A";"2013";79;NA
"PC_HH";"H_IACC";"AT32";"A";"2012";80;NA
"PC_HH";"H_IACC";"AT32";"A";"2011";76;NA
"PC_HH";"H_IACC";"AT32";"A";"2010";74;NA
"PC_HH";"H_IACC";"AT32";"A";"2009";74;NA
"PC_HH";"H_IACC";"AT32";"A";"2008";69;NA
"PC_HH";"H_IACC";"AT32";"A";"2007";60;NA
"PC_HH";"H_IACC";"AT32";"A";"2006";54;NA
"PC_HH";"H_IACC";"AT33";"A";"2015";NA;"na"
"PC_HH";"H_IACC";"AT33";"A";"2014";82;NA
"PC_HH";"H_IACC";"AT33";"A";"2013";84;NA
"PC_HH";"H_IACC";"AT33";"A";"2012";74;NA
"PC_HH";"H_IACC";"AT33";"A";"2011";74;NA
"PC_HH";"H_IACC";"AT33";"A";"2010";73;NA
"PC_HH";"H_IACC";"AT33";"A";"2009";69;NA
"PC_HH";"H_IACC";"AT33";"A";"2008";69;NA
"PC_HH";"H_IACC";"AT33";"A";"2007";57;NA
"PC_HH";"H_IACC";"AT33";"A";"2006";50;NA
"PC_HH";"H_IACC";"AT34";"A";"2015";NA;"na"
"PC_HH";"H_IACC";"AT34";"A";"2014";81;NA
"PC_HH";"H_IACC";"AT34";"A";"2013";84;NA
"PC_HH";"H_IACC";"AT34";"A";"2012";81;NA
"PC_HH";"H_IACC";"AT34";"A";"2011";82;NA
"PC_HH";"H_IACC";"AT34";"A";"2010";77;NA
"PC_HH";"H_IACC";"AT34";"A";"2009";72;NA
"PC_HH";"H_IACC";"AT34";"A";"2008";68;NA
"PC_HH";"H_IACC";"AT34";"A";"2007";61;NA
"PC_HH";"H_IACC";"AT34";"A";"2006";57;NA
"PC_HH";"H_IACC";"CH07";"A";"2015";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2014";85;NA
"PC_HH";"H_IACC";"CH07";"A";"2013";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2012";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2011";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2010";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2009";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2008";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2007";NA;"na"
"PC_HH";"H_IACC";"CH07";"A";"2006";NA;"na"
"PC_HH";"H_IACC";"DE2";"A";"2015";91;NA
"PC_HH";"H_IACC";"DE2";"A";"2014";89;NA
"PC_HH";"H_IACC";"DE2";"A";"2013";88;NA
"PC_HH";"H_IACC";"DE2";"A";"2012";87;NA
"PC_HH";"H_IACC";"DE2";"A";"2011";85;NA
"PC_HH";"H_IACC";"DE2";"A";"2010";82;NA
"PC_HH";"H_IACC";"DE2";"A";"2009";80;NA
"PC_HH";"H_IACC";"DE2";"A";"2008";77;NA
"PC_HH";"H_IACC";"DE2";"A";"2007";73;NA
"PC_HH";"H_IACC";"DE2";"A";"2006";69;NA
"PC_HH";"H_IACC";"IT";"A";"2015";75;NA
"PC_HH";"H_IACC";"IT";"A";"2014";73;NA
"PC_HH";"H_IACC";"IT";"A";"2013";69;NA
"PC_HH";"H_IACC";"IT";"A";"2012";63;NA
"PC_HH";"H_IACC";"IT";"A";"2011";62;NA
"PC_HH";"H_IACC";"IT";"A";"2010";59;NA
"PC_HH";"H_IACC";"IT";"A";"2009";53;NA
"PC_HH";"H_IACC";"IT";"A";"2008";47;NA
"PC_HH";"H_IACC";"IT";"A";"2007";43;NA
"PC_HH";"H_IACC";"IT";"A";"2006";40;NA
"PC_HH";"H_IACC";"ITC4";"A";"2015";78;NA
"PC_HH";"H_IACC";"ITC4";"A";"2014";77;NA
"PC_HH";"H_IACC";"ITC4";"A";"2013";72;NA
"PC_HH";"H_IACC";"ITC4";"A";"2012";68;NA
"PC_HH";"H_IACC";"ITC4";"A";"2011";67;NA
"PC_HH";"H_IACC";"ITC4";"A";"2010";64;NA
"PC_HH";"H_IACC";"ITC4";"A";"2009";57;NA
"PC_HH";"H_IACC";"ITC4";"A";"2008";54;NA
"PC_HH";"H_IACC";"ITC4";"A";"2007";51;NA
"PC_HH";"H_IACC";"ITC4";"A";"2006";47;NA
"PC_HH";"H_IACC";"ITH";"A";"2015";79;NA
"PC_HH";"H_IACC";"ITH";"A";"2014";77;NA
"PC_HH";"H_IACC";"ITH";"A";"2013";74;NA
"PC_HH";"H_IACC";"ITH";"A";"2012";66;NA
"PC_HH";"H_IACC";"ITH";"A";"2011";64;NA
"PC_HH";"H_IACC";"ITH";"A";"2010";61;NA
"PC_HH";"H_IACC";"ITH";"A";"2009";57;NA
"PC_HH";"H_IACC";"ITH";"A";"2008";51;NA
"PC_HH";"H_IACC";"ITH";"A";"2007";47;NA
"PC_HH";"H_IACC";"ITH";"A";"2006";43;NA
"PC_HH";"H_IACC";"ITH1";"A";"2015";81;NA
"PC_HH";"H_IACC";"ITH1";"A";"2014";80;NA
"PC_HH";"H_IACC";"ITH1";"A";"2013";76;NA
"PC_HH";"H_IACC";"ITH1";"A";"2012";70;NA
"PC_HH";"H_IACC";"ITH1";"A";"2011";67;NA
"PC_HH";"H_IACC";"ITH1";"A";"2010";60;NA
"PC_HH";"H_IACC";"ITH1";"A";"2009";59;NA
"PC_HH";"H_IACC";"ITH1";"A";"2008";55;NA
"PC_HH";"H_IACC";"ITH1";"A";"2007";49;NA
"PC_HH";"H_IACC";"ITH1";"A";"2006";42;NA
"PC_HH";"H_IACC";"ITH2";"A";"2015";81;NA
"PC_HH";"H_IACC";"ITH2";"A";"2014";77;NA
"PC_HH";"H_IACC";"ITH2";"A";"2013";71;NA
"PC_HH";"H_IACC";"ITH2";"A";"2012";68;NA
"PC_HH";"H_IACC";"ITH2";"A";"2011";67;NA
"PC_HH";"H_IACC";"ITH2";"A";"2010";63;NA
"PC_HH";"H_IACC";"ITH2";"A";"2009";55;NA
"PC_HH";"H_IACC";"ITH2";"A";"2008";49;NA
"PC_HH";"H_IACC";"ITH2";"A";"2007";52;NA
"PC_HH";"H_IACC";"ITH2";"A";"2006";44;NA
"PC_HH";"H_IACC";"ITH3";"A";"2015";79;NA
"PC_HH";"H_IACC";"ITH3";"A";"2014";75;NA
"PC_HH";"H_IACC";"ITH3";"A";"2013";75;NA
"PC_HH";"H_IACC";"ITH3";"A";"2012";65;NA
"PC_HH";"H_IACC";"ITH3";"A";"2011";63;NA
"PC_HH";"H_IACC";"ITH3";"A";"2010";61;NA
"PC_HH";"H_IACC";"ITH3";"A";"2009";57;NA
"PC_HH";"H_IACC";"ITH3";"A";"2008";48;NA
"PC_HH";"H_IACC";"ITH3";"A";"2007";48;NA
"PC_HH";"H_IACC";"ITH3";"A";"2006";43;NA
