"UNIT";"INDIC_IS";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"PC_IND";"I_IUSE";"AT32";"A";"2015";NA;"na"
"PC_IND";"I_IUSE";"AT32";"A";"2014";81;NA
"PC_IND";"I_IUSE";"AT32";"A";"2013";77;NA
"PC_IND";"I_IUSE";"AT32";"A";"2012";80;NA
"PC_IND";"I_IUSE";"AT32";"A";"2011";76;NA
"PC_IND";"I_IUSE";"AT32";"A";"2010";70;NA
"PC_IND";"I_IUSE";"AT32";"A";"2009";72;NA
"PC_IND";"I_IUSE";"AT32";"A";"2008";67;NA
"PC_IND";"I_IUSE";"AT32";"A";"2007";65;NA
"PC_IND";"I_IUSE";"AT32";"A";"2006";54;NA
"PC_IND";"I_IUSE";"AT33";"A";"2015";NA;"na"
"PC_IND";"I_IUSE";"AT33";"A";"2014";78;NA
"PC_IND";"I_IUSE";"AT33";"A";"2013";77;NA
"PC_IND";"I_IUSE";"AT33";"A";"2012";72;NA
"PC_IND";"I_IUSE";"AT33";"A";"2011";75;NA
"PC_IND";"I_IUSE";"AT33";"A";"2010";73;NA
"PC_IND";"I_IUSE";"AT33";"A";"2009";64;NA
"PC_IND";"I_IUSE";"AT33";"A";"2008";64;NA
"PC_IND";"I_IUSE";"AT33";"A";"2007";58;NA
"PC_IND";"I_IUSE";"AT33";"A";"2006";52;NA
"PC_IND";"I_IUSE";"AT34";"A";"2015";NA;"na"
"PC_IND";"I_IUSE";"AT34";"A";"2014";82;NA
"PC_IND";"I_IUSE";"AT34";"A";"2013";81;NA
"PC_IND";"I_IUSE";"AT34";"A";"2012";81;NA
"PC_IND";"I_IUSE";"AT34";"A";"2011";82;NA
"PC_IND";"I_IUSE";"AT34";"A";"2010";72;NA
"PC_IND";"I_IUSE";"AT34";"A";"2009";68;NA
"PC_IND";"I_IUSE";"AT34";"A";"2008";67;NA
"PC_IND";"I_IUSE";"AT34";"A";"2007";62;NA
"PC_IND";"I_IUSE";"AT34";"A";"2006";58;NA
"PC_IND";"I_IUSE";"CH07";"A";"2015";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2014";78;NA
"PC_IND";"I_IUSE";"CH07";"A";"2013";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2012";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2011";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2010";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2009";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2008";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2007";NA;"na"
"PC_IND";"I_IUSE";"CH07";"A";"2006";NA;"na"
"PC_IND";"I_IUSE";"DE2";"A";"2015";87;NA
"PC_IND";"I_IUSE";"DE2";"A";"2014";81;NA
"PC_IND";"I_IUSE";"DE2";"A";"2013";79;NA
"PC_IND";"I_IUSE";"DE2";"A";"2012";77;NA
"PC_IND";"I_IUSE";"DE2";"A";"2011";78;NA
"PC_IND";"I_IUSE";"DE2";"A";"2010";75;NA
"PC_IND";"I_IUSE";"DE2";"A";"2009";71;NA
"PC_IND";"I_IUSE";"DE2";"A";"2008";72;NA
"PC_IND";"I_IUSE";"DE2";"A";"2007";67;NA
"PC_IND";"I_IUSE";"DE2";"A";"2006";61;NA
"PC_IND";"I_IUSE";"IT";"A";"2015";63;NA
"PC_IND";"I_IUSE";"IT";"A";"2014";59;NA
"PC_IND";"I_IUSE";"IT";"A";"2013";56;NA
"PC_IND";"I_IUSE";"IT";"A";"2012";53;NA
"PC_IND";"I_IUSE";"IT";"A";"2011";51;NA
"PC_IND";"I_IUSE";"IT";"A";"2010";48;NA
"PC_IND";"I_IUSE";"IT";"A";"2009";42;NA
"PC_IND";"I_IUSE";"IT";"A";"2008";37;NA
"PC_IND";"I_IUSE";"IT";"A";"2007";34;NA
"PC_IND";"I_IUSE";"IT";"A";"2006";31;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2015";70;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2014";65;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2013";61;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2012";60;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2011";57;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2010";54;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2009";48;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2008";44;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2007";40;NA
"PC_IND";"I_IUSE";"ITC4";"A";"2006";39;NA
"PC_IND";"I_IUSE";"ITH";"A";"2015";69;NA
"PC_IND";"I_IUSE";"ITH";"A";"2014";64;NA
"PC_IND";"I_IUSE";"ITH";"A";"2013";62;NA
"PC_IND";"I_IUSE";"ITH";"A";"2012";58;NA
"PC_IND";"I_IUSE";"ITH";"A";"2011";55;NA
"PC_IND";"I_IUSE";"ITH";"A";"2010";50;NA
"PC_IND";"I_IUSE";"ITH";"A";"2009";45;NA
"PC_IND";"I_IUSE";"ITH";"A";"2008";42;NA
"PC_IND";"I_IUSE";"ITH";"A";"2007";38;NA
