"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"AT32";"A";"2015";74,1;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2014";73,7;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2013";75,4;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2012";75,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2011";74,1;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2010";73,3;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2009";73,1;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2008";72,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2007";72,4;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2006";70,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2005";70,5;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2004";67,3;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2003";72,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2002";71,5;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2001";70,7;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2000";71,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"1999";70,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2015";74,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2014";74,2;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2013";74,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2012";74,2;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2011";72,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2010";72,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2009";72,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2008";72,4;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2007";72;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2006";70,5;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2005";69,4;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2004";67,2;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2003";68,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2002";68,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2001";66,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2000";68,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"1999";68,2;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2015";75,1;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2014";74,8;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2013";74,1;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2012";73,8;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2011";73;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2010";72,2;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2009";72;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2008";72,2;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2007";71,8;"b";NA
"PC";"Y15-64";"T";"AT34";"A";"2006";70,7;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2005";70,1;"b";NA
"PC";"Y15-64";"T";"AT34";"A";"2004";69,5;"b";NA
"PC";"Y15-64";"T";"AT34";"A";"2003";68,6;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2002";68,9;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2001";69,4;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2000";69,4;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"1999";68,1;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2015";71,7;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2014";70,4;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2013";71,7;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2012";71,5;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2011";72,7;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2010";72;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2009";70;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2008";70;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2007";69,4;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2006";70,1;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2005";68,2;"b";NA
"PC";"Y15-64";"T";"CH07";"A";"2004";69;NA;NA
"PC";"Y15-64";"T";"CH07";"A";"2003";70,4;NA;NA
