"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"AT32";"A";"2015";76,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2014";76,5;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2013";77,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2012";77,5;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2011";76,4;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2010";75,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2009";75,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2008";74,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2007";75;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2006";72,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2005";73,1;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2004";70,4;"b";NA
"PC";"Y15-64";"T";"AT32";"A";"2003";73,8;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2002";73,9;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2001";72,2;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"2000";73,6;NA;NA
"PC";"Y15-64";"T";"AT32";"A";"1999";73;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2015";76,6;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2014";76,7;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2013";77,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2012";76,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2011";74,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2010";75,2;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2009";75,3;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2008";74,4;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2007";74,3;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2006";72,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2005";72,3;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2004";69,3;"b";NA
"PC";"Y15-64";"T";"AT33";"A";"2003";71;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2002";70,6;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2001";68,9;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"2000";70,8;NA;NA
"PC";"Y15-64";"T";"AT33";"A";"1999";70,5;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2015";77,9;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2014";77,4;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2013";76,8;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2012";77;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2011";76,1;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2010";75,7;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2009";76,3;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2008";75,4;NA;NA
"PC";"Y15-64";"T";"AT34";"A";"2007";74,9;"b";NA
