"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"AT32";"A";"2015";3,5;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2014";3,5;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2013";3,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2012";2,9;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2011";2,9;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2010";3,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2009";3,6;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2008";2,8;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2007";3,5;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2006";3,5;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2005";3,6;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2004";4,4;"b";NA
"PC";"Y_GE15";"T";"AT32";"A";"2003";2,2;"u";NA
"PC";"Y_GE15";"T";"AT32";"A";"2002";3,2;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"2001";2;"u";NA
"PC";"Y_GE15";"T";"AT32";"A";"2000";3,3;NA;NA
"PC";"Y_GE15";"T";"AT32";"A";"1999";3,1;"u";NA
"PC";"Y_GE15";"T";"AT33";"A";"2015";3;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2014";3,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2013";3,1;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2012";2,8;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2011";2,7;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2010";3,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2009";3,3;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2008";2,6;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2007";3;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2006";3,2;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2005";3,9;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2004";2,9;"b";NA
"PC";"Y_GE15";"T";"AT33";"A";"2003";3,1;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2002";2,4;"u";NA
"PC";"Y_GE15";"T";"AT33";"A";"2001";2,9;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"2000";3;NA;NA
"PC";"Y_GE15";"T";"AT33";"A";"1999";3,3;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2015";3,5;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2014";3,4;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2013";3,6;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2012";4;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2011";4,1;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2010";4,6;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2009";5,6;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2008";4,1;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2007";4,1;"b";NA
"PC";"Y_GE15";"T";"AT34";"A";"2006";5;NA;NA
"PC";"Y_GE15";"T";"AT34";"A";"2005";5,5;"b";NA
"PC";"Y_GE15";"T";"AT34";"A";"2004";4,2;"bu";NA
"PC";"Y_GE15";"T";"AT34";"A";"2003";4,3;"u";NA
"PC";"Y_GE15";"T";"AT34";"A";"2002";2,6;"u";NA
"PC";"Y_GE15";"T";"AT34";"A";"2001";3;"u";NA
"PC";"Y_GE15";"T";"AT34";"A";"2000";2,8;"u";NA
"PC";"Y_GE15";"T";"AT34";"A";"1999";4,5;"u";NA
"PC";"Y_GE15";"T";"CH07";"A";"2015";6,4;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2014";6,7;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2013";6,8;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2012";6,9;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2011";6;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2010";6;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2009";5,1;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2008";5;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2007";5;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2006";5,3;NA;NA
"PC";"Y_GE15";"T";"CH07";"A";"2005";6,1;"b";NA
