"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y15-24";"T";"AT32";"A";"2015";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2014";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2013";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2012";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2011";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2010";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2009";8,1;NA;"u"
"PC";"Y15-24";"T";"AT32";"A";"2008";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2007";NA;"na";"bu"
"PC";"Y15-24";"T";"AT32";"A";"2006";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2005";7,8;NA;"bu"
"PC";"Y15-24";"T";"AT32";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"AT32";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"AT32";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2015";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2014";6;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2013";6,2;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2012";6,4;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2011";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2010";6,6;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2009";6,9;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2008";6,2;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2007";6,9;NA;"bu"
"PC";"Y15-24";"T";"AT33";"A";"2006";6,7;NA;"u"
"PC";"Y15-24";"T";"AT33";"A";"2005";8,9;NA;"bu"
"PC";"Y15-24";"T";"AT33";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"AT33";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"AT33";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2015";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2014";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2013";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2012";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2011";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2010";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2009";11,6;NA;"u"
"PC";"Y15-24";"T";"AT34";"A";"2008";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2007";NA;"na";"bu"
"PC";"Y15-24";"T";"AT34";"A";"2006";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2005";10,6;NA;"bu"
"PC";"Y15-24";"T";"AT34";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"AT34";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"AT34";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"CH07";"A";"2015";11,5;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2014";17;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2013";16,2;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2012";18,1;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2011";17,3;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2010";10,7;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2009";14,3;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2008";11,2;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2007";NA;"na";"u"
"PC";"Y15-24";"T";"CH07";"A";"2006";12,1;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2005";15,8;NA;"bu"
"PC";"Y15-24";"T";"CH07";"A";"2004";NA;"na";"u"
"PC";"Y15-24";"T";"CH07";"A";"2003";12,1;NA;"u"
"PC";"Y15-24";"T";"CH07";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"CH07";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"CH07";"A";"2000";NA;"na";NA
"PC";"Y15-24";"T";"CH07";"A";"1999";NA;"na";NA
"PC";"Y15-24";"T";"DE2";"A";"2015";4,2;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2014";4,4;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2013";4,8;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2012";5,3;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2011";5,4;NA;"b"
"PC";"Y15-24";"T";"DE2";"A";"2010";6,5;NA;"b"
"PC";"Y15-24";"T";"DE2";"A";"2009";8,1;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2008";6,1;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2007";8;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2006";8,6;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2005";11,6;NA;"b"
"PC";"Y15-24";"T";"DE2";"A";"2004";8,9;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2003";7,2;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2002";5,2;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2001";3,8;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"2000";4,6;NA;NA
"PC";"Y15-24";"T";"DE2";"A";"1999";6,1;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2015";20,2;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2014";22;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2013";23,6;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2012";23,2;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2011";21,7;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2010";21,1;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2009";20;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2008";15,7;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2007";15,6;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2006";17,4;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2005";18,7;NA;"b"
"PC";"Y15-24";"T";"EU27";"A";"2004";18,7;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2003";18,2;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2002";18;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2001";17,4;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"2000";18,3;NA;NA
"PC";"Y15-24";"T";"EU27";"A";"1999";NA;"na";NA
"PC";"Y15-24";"T";"EU28";"A";"2015";20,4;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2014";22,2;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2013";23,8;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2012";23,3;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2011";21,8;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2010";21,2;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2009";20;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2008";15,7;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2007";15,6;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2006";17,5;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2005";18,8;NA;"b"
"PC";"Y15-24";"T";"EU28";"A";"2004";18,8;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2003";18,3;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2002";18,2;NA;NA
"PC";"Y15-24";"T";"EU28";"A";"2001";NA;"na";NA
"PC";"Y15-24";"T";"EU28";"A";"2000";NA;"na";NA
"PC";"Y15-24";"T";"EU28";"A";"1999";NA;"na";NA
"PC";"Y15-24";"T";"IT";"A";"2015";40,3;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2014";42,7;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2013";40;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2012";35,3;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2011";29,2;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2010";27,9;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2009";25,3;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2008";21,2;NA;NA
"PC";"Y15-24";"T";"IT";"A";"2007";20,4;NA;NA
