"UNIT";"GEO";"FREQ";"obsTime";"obsValue"
"PPS_HAB";"AT32";"A";"2014";41600
"PPS_HAB";"AT32";"A";"2013";41000
"PPS_HAB";"AT32";"A";"2012";41100
"PPS_HAB";"AT32";"A";"2011";38900
"PPS_HAB";"AT32";"A";"2010";37300
"PPS_HAB";"AT32";"A";"2009";34800
"PPS_HAB";"AT32";"A";"2008";36700
"PPS_HAB";"AT32";"A";"2007";36700
"PPS_HAB";"AT32";"A";"2006";34600
"PPS_HAB";"AT32";"A";"2005";32400
"PPS_HAB";"AT32";"A";"2004";31800
"PPS_HAB";"AT32";"A";"2003";30100
"PPS_HAB";"AT32";"A";"2002";29400
"PPS_HAB";"AT32";"A";"2001";28100
"PPS_HAB";"AT32";"A";"2000";28300
"PPS_HAB";"AT33";"A";"2014";38000
"PPS_HAB";"AT33";"A";"2013";37000
"PPS_HAB";"AT33";"A";"2012";36400
"PPS_HAB";"AT33";"A";"2011";34200
"PPS_HAB";"AT33";"A";"2010";32800
"PPS_HAB";"AT33";"A";"2009";31600
"PPS_HAB";"AT33";"A";"2008";32800
"PPS_HAB";"AT33";"A";"2007";33100
"PPS_HAB";"AT33";"A";"2006";32000
"PPS_HAB";"AT33";"A";"2005";30300
"PPS_HAB";"AT33";"A";"2004";29200
"PPS_HAB";"AT33";"A";"2003";28000
"PPS_HAB";"AT33";"A";"2002";27200
"PPS_HAB";"AT33";"A";"2001";25900
"PPS_HAB";"AT33";"A";"2000";25900
"PPS_HAB";"AT34";"A";"2014";38200
"PPS_HAB";"AT34";"A";"2013";37000
"PPS_HAB";"AT34";"A";"2012";36100
"PPS_HAB";"AT34";"A";"2011";34600
"PPS_HAB";"AT34";"A";"2010";33200
"PPS_HAB";"AT34";"A";"2009";31700
"PPS_HAB";"AT34";"A";"2008";33400
"PPS_HAB";"AT34";"A";"2007";33000
"PPS_HAB";"AT34";"A";"2006";31500
"PPS_HAB";"AT34";"A";"2005";29900
"PPS_HAB";"AT34";"A";"2004";29400
"PPS_HAB";"AT34";"A";"2003";28000
"PPS_HAB";"AT34";"A";"2002";27800
"PPS_HAB";"AT34";"A";"2001";26500
"PPS_HAB";"AT34";"A";"2000";26300
"PPS_HAB";"DE2";"A";"2014";39700
"PPS_HAB";"DE2";"A";"2013";38300
"PPS_HAB";"DE2";"A";"2012";37900
"PPS_HAB";"DE2";"A";"2011";37100
"PPS_HAB";"DE2";"A";"2010";35000
"PPS_HAB";"DE2";"A";"2009";32200
"PPS_HAB";"DE2";"A";"2008";34100
