"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"V11210";"B";"AT32";"A";"2013";57;NA;NA
"V11210";"B";"AT32";"A";"2012";57;NA;NA
"V11210";"B";"AT32";"A";"2011";65;NA;NA
"V11210";"B";"AT32";"A";"2010";66;NA;NA
"V11210";"B";"AT32";"A";"2009";61;NA;NA
"V11210";"B";"AT32";"A";"2008";60;NA;NA
"V11210";"B";"AT33";"A";"2013";74;NA;NA
"V11210";"B";"AT33";"A";"2012";69;NA;NA
"V11210";"B";"AT33";"A";"2011";66;NA;NA
"V11210";"B";"AT33";"A";"2010";66;NA;NA
"V11210";"B";"AT33";"A";"2009";64;NA;NA
"V11210";"B";"AT33";"A";"2008";64;NA;NA
"V11210";"B";"AT34";"A";"2013";21;NA;NA
"V11210";"B";"AT34";"A";"2012";21;NA;NA
"V11210";"B";"AT34";"A";"2011";22;NA;NA
"V11210";"B";"AT34";"A";"2010";24;NA;NA
"V11210";"B";"AT34";"A";"2009";22;NA;NA
"V11210";"B";"AT34";"A";"2008";23;NA;NA
"V11210";"B";"DE2";"A";"2013";493;NA;NA
"V11210";"B";"DE2";"A";"2012";510;NA;NA
"V11210";"B";"DE2";"A";"2011";513;NA;NA
"V11210";"B";"DE2";"A";"2010";584;NA;NA
"V11210";"B";"DE2";"A";"2009";212;"d";NA
"V11210";"B";"DE2";"A";"2008";213;"d";NA
"V11210";"B";"IT";"A";"2013";2367;NA;NA
"V11210";"B";"IT";"A";"2012";2487;NA;NA
"V11210";"B";"IT";"A";"2011";3732;NA;NA
"V11210";"B";"IT";"A";"2010";3538;NA;NA
"V11210";"B";"IT";"A";"2009";3627;NA;NA
"V11210";"B";"IT";"A";"2008";4115;NA;NA
"V11210";"B";"ITC4";"A";"2013";314;NA;NA
"V11210";"B";"ITC4";"A";"2012";322;NA;NA
"V11210";"B";"ITC4";"A";"2011";543;NA;NA
"V11210";"B";"ITC4";"A";"2010";579;NA;NA
"V11210";"B";"ITC4";"A";"2009";567;NA;NA
"V11210";"B";"ITC4";"A";"2008";744;NA;NA
"V11210";"B";"ITH";"A";"2013";447;NA;NA
"V11210";"B";"ITH";"A";"2012";462;NA;NA
"V11210";"B";"ITH";"A";"2011";790;NA;NA
"V11210";"B";"ITH";"A";"2010";NA;NA;"na"
"V11210";"B";"ITH";"A";"2009";NA;NA;"na"
"V11210";"B";"ITH";"A";"2008";NA;NA;"na"
"V11210";"B";"ITH1";"A";"2013";35;NA;NA
"V11210";"B";"ITH1";"A";"2012";34;NA;NA
"V11210";"B";"ITH1";"A";"2011";32;NA;NA
"V11210";"B";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"B";"ITH1";"A";"2009";NA;NA;"na"
"V11210";"B";"ITH1";"A";"2008";NA;NA;"na"
"V11210";"B";"ITH2";"A";"2013";66;NA;NA
"V11210";"B";"ITH2";"A";"2012";76;NA;NA
"V11210";"B";"ITH2";"A";"2011";157;NA;NA
"V11210";"B";"ITH2";"A";"2010";NA;NA;"na"
"V11210";"B";"ITH2";"A";"2009";NA;NA;"na"
"V11210";"B";"ITH2";"A";"2008";NA;NA;"na"
"V11210";"B";"ITH3";"A";"2013";182;NA;NA
"V11210";"B";"ITH3";"A";"2012";181;NA;NA
"V11210";"B";"ITH3";"A";"2011";288;NA;NA
"V11210";"B";"ITH3";"A";"2010";NA;NA;"na"
"V11210";"B";"ITH3";"A";"2009";NA;NA;"na"
"V11210";"B";"ITH3";"A";"2008";NA;NA;"na"
"V11210";"C";"AT32";"A";"2013";2583;NA;NA
"V11210";"C";"AT32";"A";"2012";2514;NA;NA
"V11210";"C";"AT32";"A";"2011";2476;NA;NA
"V11210";"C";"AT32";"A";"2010";2470;NA;NA
"V11210";"C";"AT32";"A";"2009";2455;NA;NA
"V11210";"C";"AT32";"A";"2008";2501;NA;NA
"V11210";"C";"AT33";"A";"2013";3143;NA;NA
"V11210";"C";"AT33";"A";"2012";3090;NA;NA
"V11210";"C";"AT33";"A";"2011";3010;NA;NA
"V11210";"C";"AT33";"A";"2010";2989;NA;NA
"V11210";"C";"AT33";"A";"2009";2987;NA;NA
"V11210";"C";"AT33";"A";"2008";3041;NA;NA
"V11210";"C";"AT34";"A";"2013";2102;NA;NA
"V11210";"C";"AT34";"A";"2012";2048;NA;NA
"V11210";"C";"AT34";"A";"2011";2035;NA;NA
"V11210";"C";"AT34";"A";"2010";2051;NA;NA
"V11210";"C";"AT34";"A";"2009";2076;NA;NA
"V11210";"C";"AT34";"A";"2008";2129;NA;NA
"V11210";"C";"DE2";"A";"2013";35517;NA;NA
"V11210";"C";"DE2";"A";"2012";36010;NA;NA
"V11210";"C";"DE2";"A";"2011";36716;NA;NA
"V11210";"C";"DE2";"A";"2010";38171;NA;NA
"V11210";"C";"DE2";"A";"2009";7086;"d";NA
"V11210";"C";"DE2";"A";"2008";7028;"d";NA
"V11210";"C";"IT";"A";"2013";410286;NA;NA
"V11210";"C";"IT";"A";"2012";420320;NA;NA
"V11210";"C";"IT";"A";"2011";491567;NA;NA
"V11210";"C";"IT";"A";"2010";489076;NA;NA
"V11210";"C";"IT";"A";"2009";499956;NA;NA
"V11210";"C";"IT";"A";"2008";536636;NA;NA
"V11210";"C";"ITC4";"A";"2013";81858;NA;NA
"V11210";"C";"ITC4";"A";"2012";83939;NA;NA
"V11210";"C";"ITC4";"A";"2011";100002;NA;NA
"V11210";"C";"ITC4";"A";"2010";101861;NA;NA
"V11210";"C";"ITC4";"A";"2009";103101;NA;NA
"V11210";"C";"ITC4";"A";"2008";122659;NA;NA
"V11210";"C";"ITH";"A";"2013";99258;NA;NA
"V11210";"C";"ITH";"A";"2012";101882;NA;NA
"V11210";"C";"ITH";"A";"2011";118845;NA;NA
"V11210";"C";"ITH";"A";"2010";NA;NA;"na"
"V11210";"C";"ITH";"A";"2009";NA;NA;"na"
"V11210";"C";"ITH";"A";"2008";NA;NA;"na"
"V11210";"C";"ITH1";"A";"2013";3078;NA;NA
"V11210";"C";"ITH1";"A";"2012";3099;NA;NA
"V11210";"C";"ITH1";"A";"2011";3524;NA;NA
"V11210";"C";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"C";"ITH1";"A";"2009";NA;NA;"na"
"V11210";"C";"ITH1";"A";"2008";NA;NA;"na"
"V11210";"C";"ITH2";"A";"2013";3249;NA;NA
"V11210";"C";"ITH2";"A";"2012";3321;NA;NA
"V11210";"C";"ITH2";"A";"2011";3905;NA;NA
"V11210";"C";"ITH2";"A";"2010";NA;NA;"na"
"V11210";"C";"ITH2";"A";"2009";NA;NA;"na"
"V11210";"C";"ITH2";"A";"2008";NA;NA;"na"
"V11210";"C";"ITH3";"A";"2013";46208;NA;NA
"V11210";"C";"ITH3";"A";"2012";47411;NA;NA
"V11210";"C";"ITH3";"A";"2011";55861;NA;NA
"V11210";"C";"ITH3";"A";"2010";NA;NA;"na"
"V11210";"C";"ITH3";"A";"2009";NA;NA;"na"
"V11210";"C";"ITH3";"A";"2008";NA;NA;"na"
"V11210";"D";"AT32";"A";"2013";291;NA;NA
"V11210";"D";"AT32";"A";"2012";273;NA;NA
"V11210";"D";"AT32";"A";"2011";257;NA;NA
"V11210";"D";"AT32";"A";"2010";266;NA;NA
"V11210";"D";"AT32";"A";"2009";243;NA;NA
"V11210";"D";"AT32";"A";"2008";202;NA;NA
"V11210";"D";"AT33";"A";"2013";372;NA;NA
"V11210";"D";"AT33";"A";"2012";352;NA;NA
"V11210";"D";"AT33";"A";"2011";339;NA;NA
"V11210";"D";"AT33";"A";"2010";340;NA;NA
"V11210";"D";"AT33";"A";"2009";321;NA;NA
"V11210";"D";"AT33";"A";"2008";308;NA;NA
"V11210";"D";"AT34";"A";"2013";182;NA;NA
"V11210";"D";"AT34";"A";"2012";192;NA;NA
"V11210";"D";"AT34";"A";"2011";162;NA;NA
"V11210";"D";"AT34";"A";"2010";167;NA;NA
"V11210";"D";"AT34";"A";"2009";92;NA;NA
"V11210";"D";"AT34";"A";"2008";91;NA;NA
"V11210";"D";"DE2";"A";"2013";428;NA;NA
"V11210";"D";"DE2";"A";"2012";387;NA;NA
"V11210";"D";"DE2";"A";"2011";369;NA;NA
"V11210";"D";"DE2";"A";"2010";369;NA;NA
"V11210";"D";"DE2";"A";"2009";346;NA;NA
"V11210";"D";"DE2";"A";"2008";322;NA;NA
"V11210";"D";"IT";"A";"2013";10438;NA;NA
"V11210";"D";"IT";"A";"2012";9218;NA;NA
"V11210";"D";"IT";"A";"2011";9291;NA;NA
"V11210";"D";"IT";"A";"2010";6658;NA;NA
"V11210";"D";"IT";"A";"2009";6421;NA;NA
"V11210";"D";"IT";"A";"2008";3992;NA;NA
"V11210";"D";"ITC4";"A";"2013";1891;NA;NA
"V11210";"D";"ITC4";"A";"2012";1710;NA;NA
"V11210";"D";"ITC4";"A";"2011";1624;NA;NA
"V11210";"D";"ITC4";"A";"2010";1963;NA;NA
"V11210";"D";"ITC4";"A";"2009";1616;NA;NA
"V11210";"D";"ITC4";"A";"2008";897;NA;NA
"V11210";"D";"ITH";"A";"2013";2945;NA;NA
"V11210";"D";"ITH";"A";"2012";2531;NA;NA
"V11210";"D";"ITH";"A";"2011";2347;NA;NA
"V11210";"D";"ITH";"A";"2010";NA;NA;"na"
"V11210";"D";"ITH";"A";"2009";NA;NA;"na"
"V11210";"D";"ITH";"A";"2008";NA;NA;"na"
"V11210";"D";"ITH1";"A";"2013";961;NA;NA
"V11210";"D";"ITH1";"A";"2012";741;NA;NA
"V11210";"D";"ITH1";"A";"2011";664;NA;NA
"V11210";"D";"ITH1";"A";"2010";NA;NA;"na"
"V11210";"D";"ITH1";"A";"2009";NA;NA;"na"
