"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NR";"B003";"I551-I553";"AT32";"A";"2015";6006196;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2014";5736186;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2013";5672162;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2012";5505406;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2011";5148105;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2010";5001115;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2009";4832640;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2008";4903840;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2007";4773065;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2006";4735905;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2005";4491578;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2004";4323174;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2003";4156972;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2002";4022977;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2001";3942058;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"2000";3811618;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1999";3707434;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1998";3564049;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1997";3384486;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1996";3459744;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1995";3469487;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1994";3606684;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1993";3663331;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1992";3802079;NA;NA
"NR";"B003";"I551-I553";"AT32";"A";"1991";3767379;NA;NA
