"UNIT";"VEHICLE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"P_THAB";"CAR";"AT32";"A";"2014";546;NA;NA
"P_THAB";"CAR";"AT32";"A";"2013";543;NA;NA
"P_THAB";"CAR";"AT32";"A";"2012";536;NA;NA
"P_THAB";"CAR";"AT32";"A";"2011";529;NA;NA
"P_THAB";"CAR";"AT32";"A";"2010";521;NA;NA
"P_THAB";"CAR";"AT32";"A";"2009";511;NA;NA
"P_THAB";"CAR";"AT32";"A";"2008";502;NA;NA
"P_THAB";"CAR";"AT32";"A";"2007";496;NA;NA
"P_THAB";"CAR";"AT32";"A";"2006";490;NA;NA
"P_THAB";"CAR";"AT32";"A";"2005";486;NA;NA
"P_THAB";"CAR";"AT32";"A";"2004";482;NA;NA
"P_THAB";"CAR";"AT32";"A";"2003";479;NA;NA
"P_THAB";"CAR";"AT32";"A";"2002";472;NA;NA
"P_THAB";"CAR";"AT32";"A";"2001";489;NA;NA
"P_THAB";"CAR";"AT32";"A";"2000";481;NA;NA
"P_THAB";"CAR";"AT32";"A";"1999";472;NA;NA
"P_THAB";"CAR";"AT32";"A";"1998";459;NA;NA
"P_THAB";"CAR";"AT32";"A";"1997";449;NA;NA
"P_THAB";"CAR";"AT32";"A";"1996";439;NA;NA
"P_THAB";"CAR";"AT32";"A";"1995";429;NA;NA
"P_THAB";"CAR";"AT32";"A";"1994";420;NA;NA
"P_THAB";"CAR";"AT32";"A";"1993";409;NA;NA
"P_THAB";"CAR";"AT32";"A";"1992";400;NA;NA
"P_THAB";"CAR";"AT32";"A";"1991";393;NA;NA
"P_THAB";"CAR";"AT32";"A";"1990";385;NA;NA
"P_THAB";"CAR";"AT33";"A";"2014";520;NA;NA
"P_THAB";"CAR";"AT33";"A";"2013";516;NA;NA
"P_THAB";"CAR";"AT33";"A";"2012";511;NA;NA
"P_THAB";"CAR";"AT33";"A";"2011";503;NA;NA
"P_THAB";"CAR";"AT33";"A";"2010";496;NA;NA
"P_THAB";"CAR";"AT33";"A";"2009";487;NA;NA
"P_THAB";"CAR";"AT33";"A";"2008";477;NA;NA
"P_THAB";"CAR";"AT33";"A";"2007";474;NA;NA
"P_THAB";"CAR";"AT33";"A";"2006";469;NA;NA
"P_THAB";"CAR";"AT33";"A";"2005";465;NA;NA
"P_THAB";"CAR";"AT33";"A";"2004";462;NA;NA
"P_THAB";"CAR";"AT33";"A";"2003";457;NA;NA
"P_THAB";"CAR";"AT33";"A";"2002";451;NA;NA
"P_THAB";"CAR";"AT33";"A";"2001";501;NA;NA
"P_THAB";"CAR";"AT33";"A";"2000";491;NA;NA
"P_THAB";"CAR";"AT33";"A";"1999";480;NA;NA
"P_THAB";"CAR";"AT33";"A";"1998";464;NA;NA
"P_THAB";"CAR";"AT33";"A";"1997";450;NA;NA
"P_THAB";"CAR";"AT33";"A";"1996";438;NA;NA
"P_THAB";"CAR";"AT33";"A";"1995";422;NA;NA
"P_THAB";"CAR";"AT33";"A";"1994";409;NA;NA
"P_THAB";"CAR";"AT33";"A";"1993";393;NA;NA
"P_THAB";"CAR";"AT33";"A";"1992";378;NA;NA
"P_THAB";"CAR";"AT33";"A";"1991";364;NA;NA
"P_THAB";"CAR";"AT33";"A";"1990";353;NA;NA
"P_THAB";"CAR";"AT34";"A";"2014";526;NA;NA
"P_THAB";"CAR";"AT34";"A";"2013";522;NA;NA
"P_THAB";"CAR";"AT34";"A";"2012";518;NA;NA
"P_THAB";"CAR";"AT34";"A";"2011";512;NA;NA
"P_THAB";"CAR";"AT34";"A";"2010";504;NA;NA
"P_THAB";"CAR";"AT34";"A";"2009";494;NA;NA
"P_THAB";"CAR";"AT34";"A";"2008";487;NA;NA
"P_THAB";"CAR";"AT34";"A";"2007";484;NA;NA
"P_THAB";"CAR";"AT34";"A";"2006";481;NA;NA
"P_THAB";"CAR";"AT34";"A";"2005";477;NA;NA
"P_THAB";"CAR";"AT34";"A";"2004";475;NA;NA
"P_THAB";"CAR";"AT34";"A";"2003";473;NA;NA
"P_THAB";"CAR";"AT34";"A";"2002";468;NA;NA
"P_THAB";"CAR";"AT34";"A";"2001";485;NA;NA
"P_THAB";"CAR";"AT34";"A";"2000";479;NA;NA
"P_THAB";"CAR";"AT34";"A";"1999";471;NA;NA
"P_THAB";"CAR";"AT34";"A";"1998";457;NA;NA
"P_THAB";"CAR";"AT34";"A";"1997";446;NA;NA
"P_THAB";"CAR";"AT34";"A";"1996";436;NA;NA
"P_THAB";"CAR";"AT34";"A";"1995";429;NA;NA
"P_THAB";"CAR";"AT34";"A";"1994";419;NA;NA
